player,team,GP,Goals,Assists,Points,+/-,PIM,GWG,OTG,PPGoals,PPAssists,ShGoals,ShAssists,S,S%,P/G
"Stolarz,Anthony",EDM,18,0,0,0,0,0,0,0,0,0,0,0,0,-,0.0
"Dauphin,Laurent", ,1,0,0,0,-1,0,0,0,0,0,0,0,2,0.0%,0.0
"Gaudet,Tyler",NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Jarry,Tristan",PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Megna,Jayson",WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Murray,Matt",PIT,50,0,0,0,0,4,0,0,0,0,0,0,0,0.0%,0.0
"Grosenick,Troy",NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Sateri,Harri",DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Binnington,Jordan",STL,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Gibson,Christopher",NYI,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Sparks,Garret",TOR,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Lack,Eddie",NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Comrie,Eric",WPG,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Hutchinson,Michael",TOR,9,0,0,0,0,0,0,0,0,0,0,0,0,-,0.0
"Pasquale,Edward",TB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Fasching,Hudson",ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Dano,Marko",WPG,8,0,0,0,-1,7,0,0,0,0,0,0,3,0.0%,0.0
"Forsberg,Anton",CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Korpisalo,Joonas",CBJ,27,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Brown,Patrick",CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Condon,Mike",OTT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Rodewald,Jack",OTT,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Dell,Aaron",SJ,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Leo,Chase",ANA,1,0,0,0,1,0,0,0,0,0,0,0,4,0.0%,0.0
"Nogier,Nelson",WPG,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0%,0.0
"Lagace,Maxime",VGK,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Burgdoerfer,Erik",OTT,4,0,0,0,-1,2,0,0,0,0,0,0,2,0.0%,0.0
"Duke,Reid", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Nedeljkovic,Alex",CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Hicketts,Joe",DET,11,0,0,0,-9,0,0,0,0,0,0,0,16,0.0%,0.0
"Turgeon,Dominic",DET,4,0,0,0,-3,0,0,0,0,0,0,0,2,0.0%,0.0
"Aube-Kubel,Nicolas",PHI,9,0,0,0,1,0,0,0,0,0,0,0,2,0.0%,0.0
"Valiev,Rinat",CGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Soshnikov,Nikita",STL,5,0,0,0,-1,0,0,0,0,0,0,0,1,0.0%,0.0
"Kero,Tanner",VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Gillies,Jon",CGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Barber,Riley", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Blidh,Anton",BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Richard,Anthony",NSH,1,0,0,0,-1,0,0,0,0,0,0,0,0,0.0%,0.0
"Saros,Juuse",NSH,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Mikkola,Niko",STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Bow,Landon",DAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Russo,Robbie", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Chatfield,Jalen",VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Ingram,Connor",TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"McIntyre,Zane",BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Zboril,Jakub",BOS,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0%,0.0
"Vladar,Daniel",BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Hill,Adin",ARI,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Capobianco,Kyle",ARI,2,0,0,0,-2,0,0,0,0,0,0,0,1,0.0%,0.0
"Mermis,Dakota",ARI,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0%,0.0
"Sherwood,Kole",CBJ,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Roy,Nicolas",CAR,6,0,0,0,0,2,0,0,0,0,0,0,1,0.0%,0.0
"Hanley,Joel",DAL,16,0,0,0,0,2,0,0,0,0,0,0,9,0.0%,0.0
"White,Colton",NJ,3,0,0,0,-2,2,0,0,0,0,0,0,1,0.0%,0.0
"Blackwood,Mackenzie",NJ,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Jacobs,Josh",NJ,1,0,0,0,-1,0,0,0,0,0,0,0,1,0.0%,0.0
"Lomberg,Ryan",CGY,4,0,0,0,0,17,0,0,0,0,0,0,1,0.0%,0.0
"McNiven,Michael",MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Chelios,Jake",DET,5,0,0,0,0,2,0,0,0,0,0,0,5,0.0%,0.0
"Brisebois,Guillaume",VAN,8,0,0,0,-4,0,0,0,0,0,0,0,5,0.0%,0.0
"Lappin,Nick",NJ,11,0,0,0,-6,0,0,0,0,0,0,0,11,0.0%,0.0
"McAdam,Eamon",TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Kaskisuo,Kasimir",TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Fogarty,Steven",NYR,10,0,0,0,-1,0,0,0,0,0,0,0,9,0.0%,0.0
"Lindgren,Charlie",MTL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Boyle,Kevin",ANA,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"O'Regan,Danny",BUF,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Englund,Andreas",OTT,3,0,0,0,-2,10,0,0,0,0,0,0,2,0.0%,0.0
"Lyon,Alex",PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Roy,Kevin",ANA,3,0,0,0,-1,0,0,0,0,0,0,0,2,0.0%,0.0
"Carlsson,Gabriel",CBJ,1,0,0,0,-1,2,0,0,0,0,0,0,1,0.0%,0.0
"Russell,Patrick", ,6,0,0,0,0,2,0,0,0,0,0,0,6,0.0%,0.0
"Lindholm,Anton",COL,2,0,0,0,-1,0,0,0,0,0,0,0,0,0.0%,0.0
"Rittich,David",CGY,45,0,0,0,0,4,0,0,0,0,0,0,0,0.0%,0.0
"Bean,Jake",CAR,2,0,0,0,0,2,0,0,0,0,0,0,1,0.0%,0.0
"Brown,Logan",OTT,2,0,0,0,-2,0,0,0,0,0,0,0,2,0.0%,0.0
"Frederic,Trent",BOS,15,0,0,0,-4,15,0,0,0,0,0,0,19,0.0%,0.0
"Hart,Carter",PHI,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Fitzpatrick,Evan",STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Anderson,Josh", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Blackwell,Colin",NSH,6,0,0,0,-1,2,0,0,0,0,0,0,5,0.0%,0.0
"Greco,Anthony",FLA,1,0,0,0,-3,0,0,0,0,0,0,0,2,0.0%,0.0
"Stillman,Riley",FLA,1,0,0,0,0,2,0,0,0,0,0,0,1,0.0%,0.0
"Abramov,Vitaly",OTT,1,0,0,0,-3,0,0,0,0,0,0,0,0,0.0%,0.0
"Renouf,Dan",CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Gettinger,Tim",NYR,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Gilmour,John",NYR,5,0,0,0,-3,4,0,0,0,0,0,0,9,0.0%,0.0
"DeSmith,Casey",PIT,36,0,0,0,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Gignac,Brandon",NJ,1,0,0,0,-2,0,0,0,0,0,0,0,1,0.0%,0.0
"Kuokkanen,Janne",CAR,7,0,0,0,-2,4,0,0,0,0,0,0,6,0.0%,0.0
"Friedman,Mark",PHI,1,0,0,0,-1,0,0,0,0,0,0,0,1,0.0%,0.0
",Jeff",PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Bischoff,Jake",VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Kloos,Justin",ANA,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Poolman,Tucker",WPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"DeSimone,Nick",SJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Hogberg,Marcus",OTT,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Miska,Hunter",ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Jerabek,Jakub",STL,1,0,0,0,-3,2,0,0,0,0,0,0,1,0.0%,0.0
"Stenlund,Kevin",CBJ,4,0,0,0,0,4,0,0,0,0,0,0,3,0.0%,0.0
"Sulak,Libor",DET,6,0,0,0,-4,6,0,0,0,0,0,0,7,0.0%,0.0
"Mamin,Maxim",FLA,7,0,0,0,-2,5,0,0,0,0,0,0,8,0.0%,0.0
"Delia,Collin",CHI,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Petersen,Cal",LA,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Fulcher,Kaden",DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"DiPietro,Michael",VAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Redmond,Angus",ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Gustavsson,Filip",OTT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Lindgren,Ryan",NYR,5,0,0,0,-6,8,0,0,0,0,0,0,8,0.0%,0.0
"Marody,Cooper",EDM,6,0,0,0,-1,0,0,0,0,0,0,0,6,0.0%,0.0
"Borgen,Will",BUF,4,0,0,0,-5,0,0,0,0,0,0,0,2,0.0%,0.0
"Johnson,Cam",NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Robinson,Eric",CBJ,13,0,0,0,-4,0,0,0,0,0,0,0,18,0.0%,0.0
"Gambrell,Dylan",SJ,8,0,0,0,1,2,0,0,0,0,0,0,6,0.0%,0.0
"Rempal,Sheldon",LA,7,0,0,0,-1,0,0,0,0,0,0,0,3,0.0%,0.0
"Belpedio,Louie",MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Gilbert,Dennis",CHI,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Svoboda,Miroslav",NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Francouz,Pavel",COL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Samsonov,Ilya",WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Brannstrom,Erik",OTT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Kahkonen,Kaapo",MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Lankinen,Kevin",CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Nilsson,Jacob",CHI,2,0,0,0,-2,0,0,0,0,0,0,0,0,0.0%,0.0
"Hayton,Barrett",ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"O'Connor,Logan",COL,5,0,0,0,-2,0,0,0,0,0,0,0,1,0.0%,0.0
"Vaakanainen,Urho",BOS,2,0,0,0,-1,0,0,0,0,0,0,0,2,0.0%,0.0
"McHale,Gavin",WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Alt,Mark",COL,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0
"Teves,Josh",VAN,1,0,0,0,-1,2,0,0,0,0,0,0,0,0.0%,0.0
"Kuffner,Ryan",DET,10,0,0,0,-4,0,0,0,0,0,0,0,8,0.0%,0.0
"Robson,Matt",MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Keeper,Brady",FLA,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0%,0.0
"Robson,Mat",MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Merzlikins,Elvis",CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Pitlick,Rem",NSH,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Kielly,Jake",VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Sturm,Nico",MIN,2,0,0,0,0,0,0,0,0,0,0,0,7,0.0%,0.0
"Daccord,Joey",OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Peeke,Andrew",CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Rafferty,Brogan",VAN,2,0,0,0,-1,0,0,0,0,0,0,0,3,0.0%,0.0
"Lizotte,Blake",LA,1,0,0,0,-1,0,0,0,0,0,0,0,1,0.0%,0.0
"Woll,Joseph",TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0
